,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
508,Callum Wilson,eng ENG,FW,Bournemouth,27,1992,32.3,8,55,21,38.2,1.70,0.65,0.15,0.38,12.4,0,0,0,9.9,9.9,0.18,-1.9,-1.9,Matches
509,Harry Wilson,wls WAL,"MF,FW",Bournemouth,22,1997,18.3,7,56,20,35.7,3.06,1.09,0.13,0.35,20.8,12,0,0,4.0,4.0,0.07,3.0,3.0,Matches
510,Harry Winks,eng ENG,MF,Tottenham,23,1996,24.7,0,14,2,14.3,0.57,0.08,0.00,0.00,25.4,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
511,Chris Wood,nz NZL,FW,Burnley,27,1991,27.1,14,64,28,43.8,2.36,1.03,0.20,0.46,10.7,0,1,1,15.7,14.9,0.23,-1.7,-1.9,Matches
512,Granit Xhaka,ch SUI,MF,Arsenal,26,1992,28.7,1,11,3,27.3,0.38,0.10,0.09,0.33,23.0,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches
513,Andriy Yarmolenko,ua UKR,"MF,FW",West Ham,29,1989,11.0,5,26,13,50.0,2.36,1.18,0.19,0.38,17.8,2,0,0,2.4,2.4,0.09,2.6,2.6,Matches
514,DeAndre Yedlin,us USA,DF,Newcastle Utd,26,1993,10.4,1,1,1,100.0,0.10,0.10,1.00,1.00,3.4,0,0,0,0.8,0.8,0.75,0.2,0.2,Matches
515,Maya Yoshida,jp JPN,DF,Southampton,30,1988,6.2,0,5,3,60.0,0.80,0.48,0.00,0.00,11.6,0,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
516,Ashley Young,eng ENG,DF,Manchester Utd,34,1985,10.6,0,3,0,0.0,0.28,0.00,0.00,,21.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
517,Pablo Zabaleta,ar ARG,DF,West Ham,34,1985,6.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
518,Wilfried Zaha,ci CIV,"FW,MF",Crystal Palace,26,1992,36.4,4,61,17,27.9,1.67,0.47,0.07,0.24,16.2,0,0,0,5.2,5.2,0.08,-1.2,-1.2,Matches
519,Christoph Zimmermann,de GER,DF,Norwich City,26,1993,15.9,0,6,1,16.7,0.38,0.06,0.00,0.00,16.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
